visita_id,client_id,variation,primer_paso,ultimo_paso,confirm,duracion_total_seg,duracion_total_min,tasa_error_visita,edad,genero,años_cliente_vg,num_cuentas,saldo_total
901955623_8525704889_940778,416724,Test,start,confirm,1,139.0,2.32,0.0,54,F,18,3,1451478.3099999998
901991020_14619251466_409901,5932527,Control,start,confirm,1,1319.0,21.98,0.0,81,M,24,3,967918.68
90199588_5815181293_296510,3000430,Control,start,confirm,1,236.0,3.93,0.0,46,M,10,2,27864.21
902017484_54676983828_750074,3708082,Test,start,confirm,1,125.0,2.08,0.0,39,M,15,2,236323.11
902033559_42629470467_399354,3205096,Control,start,confirm,1,483.0,8.05,0.2222222222222222,58,M,25,2,38704.06
902048660_30549297910_270945,6784834,Control,start,start,0,0.0,0.0,0.0,64,F,12,2,137276.18
902058210_33651039069_802565,2658964,Control,start,confirm,1,350.0,5.83,0.0,66,M,15,2,31549.22
90207593_18089468721_496259,7910959,Test,start,step_1,0,6.0,0.1,0.0,56,M,19,2,134539.97999999998
902093063_28569654337_130414,8295789,Control,start,start,0,117.0,1.95,0.0,69,M,4,2,54440.27
902131141_43513756097_540107,4981076,Control,start,step_3,0,186.0,3.1,0.0,45,F,5,2,27084.0
902133540_69731023118_756610,5870802,Test,start,confirm,1,216.0,3.6,0.16666666666666666,46,M,16,2,53482.51
902160093_14667184975_360396,5750263,Test,start,step_3,0,499.0,8.32,0.2,58,F,12,2,70548.83
902176208_14733115022_622638,6174475,Control,start,start,0,90.0,1.5,0.0,72,F,17,2,401468.89
902187055_13640999721_874798,8457877,Test,start,step_2,0,79.0,1.32,0.0,32,F,12,2,42427.76
902196665_73834850744_827412,1013414,Control,start,start,0,0.0,0.0,0.0,27,M,8,2,32221.28
902198680_83208733830_372056,6736705,Test,start,confirm,1,259.0,4.32,0.0,53,M,27,3,1068521.1
902202808_69475658710_973759,1385958,Test,start,step_3,0,989.0,16.48,0.1,58,M,17,2,56520.4
902236090_21174099942_927877,8330442,Test,start,start,0,292.0,4.87,0.2,59,F,5,2,45958.59
902244492_43645331674_393118,9749751,Test,start,confirm,1,109.0,1.82,0.0,56,M,8,2,496743.75
902282497_77459622976_122495,5740316,Test,start,step_2,0,20.0,0.33,0.0,49,F,11,2,146881.96
902287808_8508367519_485481,7891885,Test,start,confirm,1,123.0,2.05,0.0,54,F,12,2,42995.42
902310596_94885074092_294895,7650804,Control,start,confirm,1,206.0,3.43,0.0,34,M,4,3,48159.24
902315827_18122863251_13979,5357196,Test,start,step_3,0,720.0,12.0,0.0,50,M,15,3,237822.72
902345485_39055849468_860072,7988248,Test,start,start,0,444.0,7.4,0.0,51,M,15,2,42138.14
902387895_39222342280_778076,1203363,Control,start,confirm,1,218.0,3.63,0.0,54,F,18,2,108542.13
902419130_26405106197_176287,4265401,Test,start,confirm,1,472.0,7.87,0.0,50,F,9,2,126396.03
902421369_25974475779_625607,29527,Test,start,confirm,1,358.0,5.97,0.0,52,F,10,2,48361.4
902427214_67104823452_744689,5098915,Control,start,step_1,0,6.0,0.1,0.0,40,F,14,2,26232.54
902449996_23416653567_297408,192577,Test,start,start,0,116.0,1.93,0.25,42,M,9,2,136102.34999999998
902471947_60243834298_258094,6080815,Test,start,step_1,0,38.0,0.63,0.0,53,F,11,2,565649.5700000001
902502557_95155914045_931194,3283879,Control,start,confirm,1,176.0,2.93,0.0,30,M,10,2,93921.21
902522643_57516586153_146758,7072688,Control,start,confirm,1,326.0,5.43,0.0,60,M,21,2,41398.98
902556856_78491698827_411109,6121736,Control,start,confirm,1,999.0,16.65,0.125,30,M,11,3,57910.8
902560681_65787990316_179750,3130099,Test,start,confirm,1,441.0,7.35,0.0,48,F,13,2,49619.36
